Pub_Pri,School Code,School,City,County/State/Country
Public,54219,HIGH TECH HIGH-NORTH COUNTY,San Marcos,San Diego
Public,51175,HILMAR HIGH SCHOOL,Hilmar,Merced
Public,50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda
Public,53644,JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus
Public,54856,JOHN HENRY HIGH SCHOOL,Richmond,Contra Costa
Public,52960,JOHN O'CONNELL HIGH SCHOOL,San Francisco,San Francisco
Public,53216,KEARNY DIGITAL MEDIA & DESIGN,San Diego,San Diego
Public,53217,KEARNY ENG INNOV & DESIGN,San Diego,San Diego
Public,54507,KING CHAVEZ COMMUNITY HIGH SCH,San Diego,San Diego
Public,54889,KIT CARSON INTERNATIONAL ACDMY,Sacramento,Sacramento
Public,54267,LATHROP HIGH SCHOOL,Lathrop,San Joaquin
Public,51935,LEGACY COLLEGE PREP,Santa Ana,Orange
Public,52060,LIVE OAK HIGH SCHOOL,Morgan Hill,Santa Clara
Public,51455,LOMPOC HIGH SCHOOL,Lompoc,Santa Barbara
Public,51870,LOWER LAKE HIGH SCHOOL,Lower Lake,Lake
Public,51892,MAMMOTH HIGH SCHOOL,Mammoth Lakes,Mono
Public,51938,MARINA HIGH SCHOOL,Marina,Monterey
Public,53532,MERRILL F WEST HIGH SCHOOL,Tracy,San Joaquin
Public,54627,MERVYN M DYMALLY HIGH SCHOOL,Los Angeles,Los Angeles
Public,53009,METWEST HIGH SCHOOL,Oakland,Alameda
Public,54248,MISSION OAK HIGH SCHOOL,Tulare,Tulare
Public,52260,NORDHOFF HIGH SCHOOL,Ojai,Ventura
Public,52175,OAKDALE HIGH SCHOOL,Oakdale,Stanislaus
Public,54111,OCEAN GROVE CHARTER SCHOOL,Placerville,El Dorado
Public,51518,OPPORTUNITIES LRN-BALDWIN PARK,Irwindale,Los Angeles
Public,53976,ORANGE COVE HIGH SCHOOL,Orange Cove,Fresno
Public,54287,ORCUTT ACADEMY HIGH SCHOOL,Orcutt,Santa Barbara
Public,52295,OROVILLE HIGH SCHOOL,Oroville,Butte
Public,52310,PACIFIC GROVE HIGH SCHOOL,Pacific Grove,Monterey
Public,50175,PLACER HIGH SCHOOL,Auburn,Placer
Public,53931,POLARIS HIGH SCHOOL,Anaheim,Orange
Public,51548,PUC CALIFORNIA ACDMY LIB STUDY,Lakeview Terrace,Los Angeles
Public,54666,REEDLEY MIDDLE COLLEGE HS,Reedley,Fresno
Public,51501,RENAISSANCE HIGH SCHOOL ARTS,Long Beach,Los Angeles
Public,52650,RIPON HIGH SCHOOL,Ripon,San Joaquin
Public,52660,RIVERDALE HIGH SCHOOL,Riverdale,Fresno
Public,54407,RIVERSIDE VIRTUAL SCHOOL,Riverside,Riverside
Public,53379,ROYAL HIGH SCHOOL,Simi Valley,Ventura
Public,54751,SAMUELI ACADEMY,Santa Ana,Orange
Public,53909,SAN DIEGO MET,San Diego,San Diego
Public,50514,SANTA CLARITA VALLEY INTL CHARTER,Castaic,Los Angeles
Public,53372,SANTA SUSANA HIGH SCHOOL,Simi Valley,Ventura
Public,54600,SCHL ENTREPRENEURSHIP & TECH,San Diego,San Diego
Public,52355,SONIA SOTOMAYOR ARTS SCI ACAD,Los Angeles,Los Angeles
Public,54787,SUN VALLEY MAGNET SCHOOL,Sun Valley,Los Angeles
Public,50412,SWEETWATER SECONDARY SCHOOL,Chula Vista,San Diego
Public,54770,TEACH TECH CHARTER HIGH SCHOOL,Los Angeles,Los Angeles
Public,53500,TEMPLETON HIGH SCHOOL,Templeton,San Luis Obispo
Public,51815,THOMAS JEFFERSON HIGH SCHOOL,Los Angeles,Los Angeles
Public,53565,TURLOCK HIGH SCHOOL,Turlock,Stanislaus
Public,53575,TWENTYNINE PALMS HIGH SCHOOL,Twentynine Palms,San Bernardino
Public,50819,UNION MINE HIGH SCHOOL,El Dorado,El Dorado
Public,54245,UNIVERSITY PREP ACADEMY,San Jose,Santa Clara
Public,54642,VAPA LEGACY HIGH SCHOOL CMPLX,South Gate,Los Angeles
Public,52537,VILLAGE ACADEMY HIGH SCHOOL,Pomona,Los Angeles
Public,50688,WEST VALLEY HIGH SCHOOL,Cottonwood,Shasta
Public,53750,WHEATLAND HIGH SCHOOL,Wheatland,Yuba
Public,53780,WILLOWS HIGH SCHOOL,Willows,Glenn
Private,54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento
Private,53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda
Private,53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco
Private,53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa
Private,53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara
Private,53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento
