Pub_Pri,School Code,School,City,County/State/Country
Private,51730,NOTRE DAME ACADEMY,Los Angeles,Los Angeles
Public,53342,SANTANA HIGH SCHOOL,Santee,San Diego
Public,50700,COVINA HIGH SCHOOL,Covina,Los Angeles
Public,50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa
Public,51224,OCEAN VIEW HIGH SCHOOL,Huntington Beach,Orange
Private,51356,PARACLETE HIGH SCHOOL,Lancaster,Los Angeles
Public,51192,COASTAL ACADEMY CHARTER,Oceanside,San Diego
Public,51508,LOS ALAMITOS HIGH SCHOOL,Los Alamitos,Orange
Private,50600,WEBB SCHOOL OF CALIFORNIA,Claremont,Los Angeles
Public,53413,EL CAMINO HIGH,South San Francisco,San Mateo
Public,53293,HARBOR HIGH SCHOOL,Santa Cruz,Santa Cruz
Public,53208,LATINO COLLEGE PREP ACADEMY,San Jose,Santa Clara
Public,53755,CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles
Public,54377,KIPP SAN JOSE COLLEGIATE,San Jose,Santa Clara
Public,50692,SANTIAGO HIGH SCHOOL,Corona,Riverside
Public,51895,MIRA COSTA HIGH SCHOOL,Manhattan Beach,Los Angeles
Public,50858,LA COSTA CANYON HIGH SCHOOL,Carlsbad,San Diego
Public,54242,INDEPENDENCE HIGH SCHOOL,Bakersfield,Kern
Public,53523,TORRANCE HIGH SCHOOL,Torrance,Los Angeles
Public,51050,GLENDALE HIGH SCHOOL,Glendale,Los Angeles
Public,51978,MILPITAS HIGH SCHOOL,Milpitas,Santa Clara
Public,53103,WESTMONT HIGH SCHOOL,Campbell,Santa Clara
Public,53503,WESTLAKE HIGH SCHOOL,Westlake Village,Ventura
Public,53272,SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara
Public,54303,OAKLAND CHARTER HIGH SCHOOL,Oakland,Alameda
Public,53525,TRACY JOINT UNION HIGH SCHOOL,Tracy,San Joaquin
Public,50710,JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa
Public,51855,LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara
Public,50385,BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles
Public,52705,C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento
Public,50818,OAK RIDGE HIGH SCHOOL,El Dorado Hills,El Dorado
Public,52945,GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco
Public,50884,SAN PASQUAL HIGH SCHOOL,Escondido,San Diego
Private,53180,JUNIPERO SERRA HIGH SCHOOL,San Mateo,San Mateo
Public,53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano
Public,51060,HERBERT HOOVER HIGH SCHOOL,Glendale,Los Angeles
Public,52987,LOS OSOS HIGH SCHOOL,Rancho Cucamonga,San Bernardino
Private,52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento
Public,54043,JAMES C ENOCHS HIGH SCHOOL,Modesto,Stanislaus
Public,53499,TEMECULA VALLEY HIGH SCHOOL,Temecula,Riverside
Public,50784,DUBLIN HIGH SCHOOL,Dublin,Alameda
Public,54331,CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino
Private,53010,SAINT IGNATIUS COLLEGE PREP SC,San Francisco,San Francisco
Public,51981,MISSION VIEJO HIGH SCHOOL,Mission Viejo,Orange
Public,53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles
Public,53145,SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo
Public,52665,RIVERSIDE POLY HIGH SCHOOL,Riverside,Riverside
Private,53140,MISSION COLLEGE PREP CATH HS,San Luis Obispo,San Luis Obispo
Public,52176,YOSEMITE HIGH SCHOOL,Oakhurst,Madera
Public,53120,SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda
Public,52683,PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles
Public,52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco
Public,52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles
Public,50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego
Public,51369,LAGUNA HILLS HIGH SCHOOL,Laguna Hills,Orange
Private,52940,DREW SCHOOL,San Francisco,San Francisco
Private,50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa
Public,51130,HANFORD HIGH SCHOOL,Hanford,Kings
Public,54654,CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego
Private,53240,MATER DEI HIGH SCHOOL,Santa Ana,Orange
Public,50526,GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles
Public,51110,GROSSMONT HIGH SCHOOL,La Mesa,San Diego
Public,53106,SANTA TERESA HIGH SCHOOL,San Jose,Santa Clara
Public,51976,PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara
Public,54683,LARCHMONT CHARTER SCHOOL,Los Angeles,Los Angeles
Public,51975,TAMALPAIS HIGH SCHOOL,Mill Valley,Marin
Public,53871,GOLDEN VALLEY HIGH SCHOOL,Santa Clarita,Los Angeles
Public,53608,VALENCIA HIGH SCHOOL,Valencia,Los Angeles
Private,53338,VALLEY CHRISTIAN HIGH SCHOOL,San Jose,Santa Clara
Public,53380,SIMI VALLEY HIGH SCHOOL,Simi Valley,Ventura
Public,52249,OCEANSIDE HIGH SCHOOL,Oceanside,San Diego
Public,53495,TEMPLE CITY HIGH SCHOOL,Temple City,Los Angeles
Public,53149,TESORO HIGH SCHOOL,Rancho San Margarit,Orange
Public,53502,THOUSAND OAKS HIGH SCHOOL,Thousand Oaks,Ventura
Public,53028,INDERKUM HIGH SCHOOL,Sacramento,Sacramento
Public,53087,INDEPENDENCE HIGH SCHOOL,San Jose,Santa Clara
Public,50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno
Public,51220,HUNTINGTON BEACH HIGH SCHOOL,Huntington Beach,Orange
Public,50581,HILLTOP HIGH SCHOOL,Chula Vista,San Diego
Public,52770,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin
Private,51752,PILGRIM SCHOOL,Los Angeles,Los Angeles
Public,54677,HILLCREST HIGH SCHOOL,Riverside,Riverside
Public,54072,OLYMPIAN HIGH SCHOOL,Chula Vista,San Diego
Public,51400,LEMOORE UNION HIGH SCHOOL,Lemoore,Kings
Public,52730,RIO AMERICANO HIGH SCHOOL,Sacramento,Sacramento
Public,54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento
Public,50421,CALABASAS HIGH SCHOOL,Calabasas,Los Angeles
Public,51180,SAN BENITO HIGH SCHOOL,Hollister,San Benito
Public,53893,KEARNY COLLEGE CONNECTIONS,San Diego,San Diego
Public,51348,MAYFAIR HIGH SCHOOL,Lakewood,Los Angeles
Private,52836,CHRISTIAN HIGH SCHOOL,El Cajon,San Diego
Public,52572,REDLANDS EAST VALLEY HS,Redlands,San Bernardino
Private,52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda
Public,50015,ENCINAL HIGH SCHOOL,Alameda,Alameda
Private,52380,FLINTRIDGE SACRED HEART ACAD,La Canada,Los Angeles
Public,52546,RANCHO CUCAMONGA HIGH SCHOOL,Rancho Cucamonga,San Bernardino
Public,50472,CARLSBAD HIGH SCHOOL,Carlsbad,San Diego
Public,54764,WESTERN CENTER ACADEMY,Hemet,Riverside
Public,50618,FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno
Public,53099,OAK GROVE HIGH SCHOOL,San Jose,Santa Clara
Public,52536,RANCHO BERNARDO HIGH SCHOOL,San Diego,San Diego
Public,50888,ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino
Public,52858,MIRA MESA HIGH SCHOOL,San Diego,San Diego
Public,52401,PASADENA HIGH SCHOOL,Pasadena,Los Angeles
Public,53879,NORTHRIDGE ACADEMY HIGH SCHOOL,Northridge,Los Angeles
Public,53169,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara
Public,53738,WEST COVINA HIGH SCHOOL,West Covina,Los Angeles
Public,51633,ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles
Public,51008,SUNNY HILLS HIGH SCHOOL,Fullerton,Orange
Public,52384,COLONY HIGH SCHOOL,Ontario,San Bernardino
Public,52050,MONTEREY HIGH SCHOOL,Monterey,Monterey
Public,53343,SARATOGA HIGH SCHOOL,Saratoga,Santa Clara
Public,50675,CORONA HIGH SCHOOL,Corona,Riverside
Public,54429,EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo
Private,51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles
Public,53522,SOUTH HIGH SCHOOL,Torrance,Los Angeles
Public,52853,JAMES MADISON HIGH SCHOOL,San Diego,San Diego
Private,54785,CAMBRIDGE SCHOOL,San Diego,San Diego
Public,50370,BREA OLINDA HIGH SCHOOL,Brea,Orange
Private,50020,SAINT JOSEPH-NOTRE DAME HS,Alameda,Alameda
Private,51330,BISHOPS SCHOOL,La Jolla,San Diego
Public,51370,BONITA HIGH SCHOOL,La Verne,Los Angeles
Public,50704,SOUTH HILLS HIGH SCHOOL,West Covina,Los Angeles
Public,50883,SAN MARCOS HIGH SCHOOL,San Marcos,San Diego
Public,51561,LA CENTER ENRICHED STUDIES,Los Angeles,Los Angeles
Public,52308,OCEANA HIGH SCHOOL,Pacifica,San Mateo
Public,52986,WESTVIEW HIGH SCHOOL,San Diego,San Diego
Private,52082,JUSTIN SIENA HIGH SCHOOL,Napa,Napa
Public,52887,UNIVERSITY CITY HIGH,San Diego,San Diego
Private,52278,ONTARIO CHRISTIAN HIGH SCHOOL,Ontario,San Bernardino
Private,53200,MARY STAR OF THE SEA HIGH SCH,San Pedro,Los Angeles
Private,53705,MONTE VISTA CHRISTIAN HS,Watsonville,Santa Cruz
Public,53520,NORTH HIGH SCHOOL,Torrance,Los Angeles
Public,50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles
Private,50275,NOTRE DAME HIGH SCHOOL,Belmont,San Mateo
Public,52891,CANYON HILLS HIGH SCHOOL,San Diego,San Diego
Public,52590,REDLANDS HIGH SCHOOL,Redlands,San Bernardino
Public,54321,YORBA LINDA HIGH SCHOOL,Yorba Linda,Orange
Public,53062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles
Public,53320,SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles
Public,50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura
Public,54784,RIVERSIDE STEM ACADEMY,Riverside,Riverside
Public,50006,OAK PARK HIGH SCHOOL,Oak Park,Ventura
Private,53626,SONOMA ACADEMY,Santa Rosa,Sonoma
Public,54065,PUC CMNTY CHAR MS EARLY COL HS,Lake View Terrace,Los Angeles
Public,51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange
Public,53336,SAUGUS HIGH SCHOOL,Saugus,Los Angeles
Public,53195,SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles
Public,53586,UPLAND HIGH SCHOOL,Upland,San Bernardino
Public,54673,USC HYBRID HIGH COLLEGE PREP,Los Angeles,Los Angeles
Private,51333,LA JOLLA COUNTRY DAY SCHOOL,La Jolla,San Diego
Public,51786,SCIENCE ACADEMY STEM MAGNET,North Hollywood,Los Angeles
Public,52388,JOHN MARSHALL FUNDAMENTAL SCH,Pasadena,Los Angeles
Public,53410,SOUTH PASADENA HIGH SCHOOL,South Pasadena,Los Angeles
Public,54018,SEGERSTROM HIGH SCHOOL,Santa Ana,Orange
Public,50075,SOUTH TAHOE HIGH SCHOOL,South Lake Tahoe,El Dorado
Public,52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento
Public,52117,NEWBURY PARK HIGH SCHOOL,Newbury Park,Ventura
Public,52105,SWEETWATER UNION HIGH SCHOOL,National City,San Diego
Private,51244,MATER DEI CATHOLIC HIGH SCHOOL,Chula Vista,San Diego
Private,50990,SAN JOAQUIN MEMORIAL HS,Fresno,Fresno
Public,53995,LAKESIDE HIGH SCHOOL,Lake Elsinore,Riverside
Public,50865,SAN DIEGUITO ACADEMY,Encinitas,San Diego
Public,51240,IMPERIAL HIGH SCHOOL,Imperial,Imperial
Public,53521,WEST HIGH SCHOOL,Torrance,Los Angeles
Public,53740,RIVER CITY HIGH SCHOOL,West Sacramento,Yolo
Public,50825,ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento
Public,52172,SAN MARIN HIGH SCHOOL,Novato,Marin
Public,52478,EL DORADO HIGH SCHOOL,Placentia,Orange
Public,53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles
Public,52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego
Private,51760,SACRED HEART HIGH SCHOOL,Los Angeles,Los Angeles
Private,52502,DAMIEN HIGH SCHOOL,La Verne,Los Angeles
Public,50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles
Public,50527,CERRITOS HIGH SCHOOL,Cerritos,Los Angeles
Public,52543,QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles
Public,50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles
Public,52980,MISSION SENIOR HIGH SCHOOL,San Francisco,San Francisco
Public,53083,DEL MAR HIGH SCHOOL,San Jose,Santa Clara
Private,52077,SAINT FRANCIS HIGH SCHOOL,Mountain View,Santa Clara
Public,52625,DE ANZA HIGH SCHOOL,Richmond,Contra Costa
Private,52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles
Private,52698,SAINT FRANCIS HIGH SCHOOL,Sacramento,Sacramento
Public,51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles
Private,52133,CAMPBELL HALL,Studio City,Los Angeles
Public,52464,PINOLE VALLEY HIGH SCHOOL,Pinole,Contra Costa
Public,50050,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles
Public,50871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego
Public,54851,RANCHO CAMPANA HIGH SCHOOL,Camarillo,Ventura
Public,52947,GATEWAY HIGH SCHOOL,San Francisco,San Francisco
Public,52210,CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles
Public,52299,RIO MESA HIGH SCHOOL,Oxnard,Ventura
Public,52894,SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles
Public,51361,REDWOOD HIGH SCHOOL,Larkspur,Marin
Public,51160,HEALDSBURG HIGH SCHOOL,Healdsburg,Sonoma
Public,51033,SANTIAGO HIGH SCHOOL,Garden Grove,Orange
Private,50869,HOLY MARTYRS ARMENIAN HS,Encino,Los Angeles
Public,52480,VALENCIA HIGH SCHOOL,Placentia,Orange
Public,51106,GRANITE BAY HIGH SCHOOL,Granite Bay,Placer
Private,53435,SAINT MARYS HIGH SCHOOL,Stockton,San Joaquin
Public,53297,SANTA CRUZ HIGH SCHOOL,Santa Cruz,Santa Cruz
Public,52950,GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco
Public,53691,FOOTHILL TECHNOLOGY HS,Ventura,Ventura
Public,51828,VENICE HIGH SCHOOL,Los Angeles,Los Angeles
Public,50722,GAHR HIGH SCHOOL,Cerritos,Los Angeles
Public,51221,MARINA HIGH SCHOOL,Huntington Beach,Orange
Public,52567,MARTIN LUTHER KING HIGH SCHOOL,Riverside,Riverside
Public,53065,SANGER HIGH SCHOOL,Sanger,Fresno
Public,50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino
Public,53676,WALNUT HIGH SCHOOL,Walnut,Los Angeles
Public,53234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange
Public,50964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange
Public,53055,SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles
Private,52880,SAINT AUGUSTINE HIGH SCHOOL,San Diego,San Diego
Public,52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda
Public,54709,SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego
Public,50375,LIBERTY HIGH SCHOOL,Brentwood,Contra Costa
Private,50402,PROVIDENCE HIGH SCHOOL,Burbank,Los Angeles
Public,53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara
Public,51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles
Public,52129,NORCO HIGH SCHOOL,Norco,Riverside
Public,52251,GUAJOME PARK ACADEMY,Vista,San Diego
Public,51088,GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles
Public,50309,GIRLS ACADEMIC LEADERSHIP ACAD,Los Angeles,Los Angeles
Public,53243,VALLEY HIGH SCHOOL,Santa Ana,Orange
Public,51629,VALLEY INTERNATIONAL PREP HS,Northridge,Los Angeles
Public,50824,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento
Public,52279,VILLA PARK HIGH SCHOOL,Villa Park,Orange
Public,52497,FOOTHILL HIGH SCHOOL,Pleasanton,Alameda
Public,50940,FOLSOM HIGH SCHOOL,Folsom,Sacramento
Public,52319,PALM DESERT HIGH SCHOOL,Palm Desert,Riverside
Public,50093,ESPERANZA HIGH SCHOOL,Anaheim,Orange
Public,51525,ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles
Public,53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare
Public,51907,PALOMA VALLEY HIGH SCHOOL,Menifee,Riverside
Public,54481,EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles
Public,52598,WOODCREEK HIGH SCHOOL,Roseville,Placer
Public,52867,PATRICK HENRY HIGH SCHOOL,San Diego,San Diego
Public,54746,DEL LAGO ACADEMY,Escondido,San Diego
Public,53820,YUCAIPA SENIOR HIGH SCHOOL,Yucaipa,San Bernardino
Public,50714,CYPRESS HIGH SCHOOL,Cypress,Orange
Private,52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego
Public,50126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino
Public,53880,GREAT OAK HIGH SCHOOL,Temecula,Riverside
Public,53545,VERDUGO HILLS HIGH SCHOOL,Tujunga,Los Angeles
Private,52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco
Public,50466,TORREY PINES HIGH SCHOOL,San Diego,San Diego
Public,52617,SHERMAN OAKS CTR ENRCHED STDS,Reseda,Los Angeles
Public,53100,SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara
Public,50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo
Public,54231,KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda
Public,50378,BUENA PARK HIGH SCHOOL,Buena Park,Orange
Private,52686,MARANATHA HIGH SCHOOL,Pasadena,Los Angeles
Public,51958,TRABUCO HILLS HIGH SCHOOL,Mission Viejo,Orange
Public,53937,WHITNEY HIGH SCHOOL,Rocklin,Placer
Public,50980,EDISON HIGH SCHOOL,Fresno,Fresno
Public,53806,WILLIAM HOWARD TAFT HS,Woodland Hills,Los Angeles
Public,51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles
Public,51312,LA CANADA HIGH SCHOOL,La Canada,Los Angeles
Public,54159,PATRIOT HIGH SCHOOL,Riverside,Riverside
Public,53539,CHAPARRAL HIGH SCHOOL,Temecula,Riverside
Public,51507,DEL ORO HIGH SCHOOL,Loomis,Placer
Private,53005,SACRED HEART CATHEDRAL PREP,San Francisco,San Francisco
Public,51320,LAGUNA BEACH HIGH SCHOOL,Laguna Beach,Orange
Public,50564,CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino
Public,50301,ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles
Public,52881,MORSE HIGH SCHOOL,San Diego,San Diego
Public,52055,MOORPARK HIGH SCHOOL,Moorpark,Ventura
Public,54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles
Public,54316,OAK HILLS HIGH SCHOOL,Oak Hills,San Bernardino
Public,50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles
Public,51825,UNIVERSITY HIGH SCHOOL,Los Angeles,Los Angeles
Public,53222,SAN RAFAEL HIGH SCHOOL,San Rafael,Marin
Public,50806,GRANITE HILLS HIGH SCHOOL,El Cajon,San Diego
Public,50776,OXFORD ACADEMY,Cypress,Orange
Public,54553,MAKING WAVES ACADEMY,Richmond,Contra Costa
Public,54548,VALLEY ACADEMY ARTS & SCIENCES,Granada Hills,Los Angeles
Public,50963,LOS AMIGOS HIGH SCHOOL,Fountain Valley,Orange
Public,53655,VENTURA HIGH SCHOOL,Ventura,Ventura
Public,52609,ROCKLIN HIGH SCHOOL,Rocklin,Placer
Private,52637,SALESIAN COLLEGE PREPARATORY,Richmond,Contra Costa
Public,52685,ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles
Public,52327,PALISADES CHARTER HIGH SCHOOL,Pacific Palisade,Los Angeles
Public,52688,OAKMONT HIGH SCHOOL,Roseville,Placer
Public,53849,TECHNOLOGY HIGH SCHOOL,Rohnert Park,Sonoma
Public,50676,CENTENNIAL HIGH SCHOOL,Corona,Riverside
Public,54078,ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside
Public,50386,HERITAGE HIGH SCHOOL,Brentwood,Contra Costa
Private,50423,VIEWPOINT SCHOOL,Calabasas,Los Angeles
Public,54457,NEW OPEN WORLD ACADEMY,Los Angeles,Los Angeles
Private,53112,SAINT MARGARETS EPISCOPAL SCH,San Juan Capistrano,Orange
Public,53266,ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange
Public,52214,NUVIEW BRIDGE EARLY COLLEGE HS,Nuevo,Riverside
Public,53665,REDWOOD HIGH SCHOOL,Visalia,Tulare
Public,52860,MISSION BAY HIGH,San Diego,San Diego
Public,51325,LA HABRA HIGH SCHOOL,La Habra,Orange
Public,53598,SCOTTS VALLEY HIGH SCHOOL,Scotts Valley,Santa Cruz
Private,53746,OAKS CHRISTIAN SCHOOL,Westlake Village,Ventura
Public,52792,SHELDON HIGH SCHOOL,Sacramento,Sacramento
Public,50829,LAGUNA CREEK HIGH SCHOOL,Elk Grove,Sacramento
Public,54523,FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles
Public,53900,KEARNY SCH BIOMED SCIENCE TECH,San Diego,San Diego
Public,50841,CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern
Public,54815,SUMMIT PUBLIC SCHOOLS SHASTA,Daly City,San Mateo
Public,52908,SYLMAR HIGH SCHOOL,Sylmar,Los Angeles
Private,52392,LA SALLE HIGH SCHOOL,Pasadena,Los Angeles
Public,53643,TEMECULA PREPARATORY SCHOOL,Winchester,Riverside
Public,54027,SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside
Public,51402,TEMESCAL CANYON HIGH SCHOOL,Lake Elsinore,Riverside
Public,51200,HOLTVILLE HIGH SCHOOL,Holtville,Imperial
Public,52541,HIGHLAND HIGH SCHOOL,Palmdale,Los Angeles
Private,52935,CONVENT OF THE SACRED HEART HS,San Francisco,San Francisco
Public,52138,CABRILLO POINT ACADEMY,Poway,San Diego
Private,51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange
Public,50804,VALHALLA HIGH SCHOOL,El Cajon,San Diego
Public,50893,CANYON CREST ACADEMY,San Diego,San Diego
Public,54438,LIBERTY RANCH HIGH SCHOOL,Galt,Sacramento
Public,51015,GALT HIGH SCHOOL,Galt,Sacramento
Public,54378,DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles
Private,50724,ATHENIAN SCHOOL,Danville,Contra Costa
Public,50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles
Public,54347,MISSION VISTA HIGH SCHOOL,Oceanside,San Diego
Public,52018,MONTCLAIR HIGH SCHOOL,Montclair,San Bernardino
Public,52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange
Public,50723,WESTMOOR HIGH SCHOOL,Daly City,San Mateo
Public,54101,UNIVERSITY PREPARATORY,Victorville,San Bernardino
Public,50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno
Public,50372,FREEDOM HIGH SCHOOL,Oakley,Contra Costa
Public,53158,SAN MARINO HIGH SCHOOL,San Marino,Los Angeles
Public,50975,CENTRAL EAST HIGH SCHOOL,Fresno,Fresno
Private,51311,SAINT FRANCIS HIGH SCHOOL,La Canada,Los Angeles
Public,50259,GOLDEN VALLEY HIGH SCHOOL,Bakersfield,Kern
Public,51009,TROY HIGH SCHOOL,Fullerton,Orange
Public,50077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino
Public,50936,UNIVERSITY HIGH SCHOOL,Fresno,Fresno
Public,50181,BUHACH COLONY HIGH SCHOOL,Atwater,Merced
Public,52015,MONROVIA HIGH SCHOOL,Monrovia,Los Angeles
Public,52225,OAKLAND HIGH SCHOOL,Oakland,Alameda
Public,52869,SAN DIEGO SCHL CREATE/PERFORM,San Diego,San Diego
Public,53907,SAN DIEGO INTL STUDIES,San Diego,San Diego
Public,50202,RIDGEVIEW HIGH SCHOOL,Bakersfield,Kern
Public,52284,CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento
Public,50573,CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego
Public,54214,TAHQUITZ HIGH SCHOOL,Hemet,Riverside
Public,53004,VISTA MURRIETA HIGH SCHOOL,Murrieta,Riverside
Public,54345,SHADOW HILLS HIGH SCHOOL,Indio,Riverside
Private,50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego
Public,51347,LAKEWOOD HIGH SCHOOL,Lakewood,Los Angeles
Public,50220,NORTH HIGH SCHOOL,Bakersfield,Kern
Private,52563,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,Orange
Public,51869,SOAR HIGH SCHOOL,Lancaster,Los Angeles
Public,50735,DELANO HIGH SCHOOL,Delano,Kern
Public,52516,DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles
Public,52475,PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa
Public,50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa
Public,51989,JURUPA VALLEY HIGH SCHOOL,Mira Loma,Riverside
Public,52430,PATTERSON HIGH SCHOOL,Patterson,Stanislaus
Public,52170,NOVATO HIGH SCHOOL,Novato,Marin
Public,51360,LOS ALTOS HIGH SCHOOL,Hacienda Heights,Los Angeles
Public,51896,MALIBU HIGH SCHOOL,Malibu,Los Angeles
Private,52269,LUTHERAN HIGH SCHL ORANGE CNTY,Orange,Orange
Public,50703,NORTHVIEW HIGH SCHOOL,Covina,Los Angeles
Public,50902,MONTEREY TRAIL HIGH SCHOOL,Elk Grove,Sacramento
Public,52022,EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo
Public,53800,WOODLAND HIGH SCHOOL,Woodland,Yolo
Public,54013,DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside
Private,52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles
Private,51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles
Private,51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles
Public,54697,EL CAPITAN HIGH SCHOOL,Merced,Merced
Public,50365,BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial
Public,51830,WESTCHESTER HIGH SCHOOL,Los Angeles,Los Angeles
Private,50103,FAIRMONT PREPARATORY ACADEMY,Anaheim,Orange
Public,52797,SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino
Private,50903,QUARRY LANE SCHOOL,Dublin,Alameda
Public,50055,MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles
Private,50310,SAINT MARYS COLLEGE HS,Berkeley,Alameda
Public,52803,NATOMAS CHARTER SCHOOL PERFORM,Sacramento,Sacramento
Public,51441,LODI HIGH SCHOOL,Lodi,San Joaquin
